Title,Author(s),First Published Year,ISBN-10,ISBN-13,Publisher,Language
The werewolf principle,Clifford D. Simak,1967,N/A,N/A,N/A,eng
Contagion,Robin Cook,1995,N/A,N/A,N/A,"eng, spa"
"Triangle (The Currents of Space / Pebble in the Sky / The Stars, Like Dust)",Isaac Asimov,1952,N/A,N/A,N/A,"ger, eng, spa"
The warlock in spite of himself,Christopher Stasheff,1969,N/A,N/A,N/A,eng
Myth conceptions,Robert Asprin,1980,N/A,N/A,N/A,eng
Star Wars - Republic Commando - True Colors,Karen Traviss,2007,N/A,N/A,N/A,"ger, eng"
Dark Age,Pierce Brown,2015,N/A,N/A,N/A,"eng, spa"
Soon I Will Be Invincible,Austin Grossman,2007,N/A,N/A,N/A,eng
Dragonhaven,Robin McKinley,2007,N/A,N/A,N/A,eng
Star Wars - Fate of the Jedi - Abyss,Troy Denning,2009,N/A,N/A,N/A,eng
Home,Martha Wells,2021,N/A,N/A,N/A,eng
Time Traders,Andre Norton,2011,N/A,N/A,N/A,eng
The mad scientist next door,Clare De Marco,2013,N/A,N/A,N/A,eng
House Corrino,"Frank Herbert, Kevin J. Anderson, Brian Herbert",2001,N/A,N/A,N/A,eng
Heart of Dread,"Melissa De La Cruz, Michael Johnston",2013,N/A,N/A,N/A,N/A
Choose Your Own Adventure - Beyond Escape!,"R. A. Montgomery, Jason Millet",1986,N/A,N/A,N/A,"spa, eng"
Animorphs - The Escape,Katherine Applegate,1998,N/A,N/A,N/A,"por, fre, eng"
Monster High,Lisi Harrison,2010,N/A,N/A,N/A,eng
Dreamsongs,George R. R. Martin,2003,N/A,N/A,N/A,"ita, eng"
Hi no tori,Osamu Tezuka,1986,N/A,N/A,N/A,"jpn, eng"
Phule's Company,Robert Asprin,1990,N/A,N/A,N/A,eng
The Proposal,Katherine Applegate,1999,N/A,N/A,N/A,"spa, fre, eng"
The Draco Tavern,Larry Niven,2006,N/A,N/A,N/A,eng
Ring,Stephen Baxter,1994,N/A,N/A,N/A,eng
The HAB theory,Allan W. Eckert,1976,N/A,N/A,N/A,eng
The Manga Guide to Databases,"Mana Takahashi, Mana Takahashi; ShoÌ„ko Azuma; OÌ„musha.",2005,N/A,N/A,N/A,"eng, ita"
Juxtaposition (Apprentice Adept,Piers Anthony,1982,N/A,N/A,N/A,"fre, eng"
Deathbird stories,Harlan Ellison,1975,N/A,N/A,N/A,eng
The Phantom Bully,Jeffrey Brown,2015,N/A,N/A,N/A,"fre, eng, pol"
The Terminal Experiment,Robert J. Sawyer,1995,N/A,N/A,N/A,"ger, eng"
The Gate of Worlds,Robert Silverberg,1967,N/A,N/A,N/A,eng
Loop,Jeremy Robert Johnson,2020,N/A,N/A,N/A,eng
The Wounded Sky,Diane Duane,1983,N/A,N/A,N/A,"ger, eng"
The Ask and the Answer,Patrick Ness,2009,N/A,N/A,N/A,eng
The mad scientists' club,Bertrand R. Brinley,1964,N/A,N/A,N/A,eng
Peace,Gene Wolfe,1975,N/A,N/A,N/A,"und, eng"
The books of magic,"John Ney Rieber, Peter Gross, John Bolton",1995,N/A,N/A,N/A,eng
Star Wars - Leia - Princess of Alderaan,"Claudia Gray, Axelle Demoulin, Nicolas Ancion",2017,N/A,N/A,N/A,eng
The Coelura,Anne McCaffrey,1983,N/A,N/A,N/A,eng
Divergent,Kate Egan,2014,N/A,N/A,N/A,eng
The Best of All Possible Worlds,"Karen Lord, Robin Miles",2013,N/A,N/A,N/A,eng
Silentium,Greg Bear,2013,N/A,N/A,N/A,eng
Nightmare Academy,Frank E. Peretti,2002,N/A,N/A,N/A,eng
Slant,"Greg Bear, Christine Williams",1997,N/A,N/A,N/A,eng
Breed to Come,Andre Norton,1972,N/A,N/A,N/A,"und, eng"
Microcosmic Tales,"Isaac Asimov, Martin H. Greenberg, Joseph D. Olander, Donald Franson, Norman E. Hartman, Jack Ritchie, Charles E. Fritch, Phyllis Eisenstein, Fredric Brown, Robert Mattingly, Barry N. Malzberg, Jack Dann, George Zebrowski, Charles Sheffield, George H. Smith, Robert F. Decker, Harry Harrison, Richard Wilson, T. E. D. Klein, Richard K. Lyon, Arthur C. Clarke, Patricia Matthews, Alan Brennert, James Tiptree, Jr., Anthony Boucher, Bob Shaw, Walt Liebscher, Mack Reynolds, A. E. van Vogt, Paul Dellinger, Harlan Ellison, Henry Slesar, Ron Montana, Joanna Russ, Theodore Cogswell, Marcia Martin, Eric Vinicoff, Edward Bryant, Garen Drussaï, William F. Nolan, Helen M. Urban, Robert Silverberg, Alice Laurance, Robert Sheckley, Charles A. Spano Jr., Craig Strete, Rick Conley, Manly Wade Wellman, Dennis R. Caro, Eric Frank Russell, Robert Payes, Fritz Leiber, Ray Russell, Roberta Ghidalia, Sherwood Springer, Joseph F. Patrouch, Roland J. Green, H. L. Gold, Jan Howard Finder, Ruth Berman, James E. Gunn, Philip José Farmer, Bill Pronzini, Arthur Tofte, F. M. Busby, Paul J. Nahin, James A. Stevens, Rachel Cosgrove Payes, Juleen Brantingham, Maggie Nadler, Lester del Rey, Larry Niven, Edward Wellen",1980,N/A,N/A,N/A,eng
The millennium,Upton Sinclair,1924,N/A,N/A,N/A,"swe, eng"
First Collier (Guardians Of Ga'hoole),Kathryn Lasky,2006,N/A,N/A,N/A,eng
The fate of ten,Pittacus Lore,2015,N/A,N/A,N/A,eng
Fortress in the eye of time,C. J. Cherryh,1995,N/A,N/A,N/A,eng
Sorrowland,Rivers Solomon,2021,N/A,N/A,N/A,"eng, fre"
Schismatrix Plus,Bruce Sterling,N/A,N/A,N/A,N/A,N/A
The Lazarus effect,Frank Herbert,1983,N/A,N/A,N/A,eng
Tribesmen of Gor,John Norman,1976,N/A,N/A,N/A,"fre, eng"
Star Wars - Young Jedi Knights - Darkest Knight,"Kevin J. Anderson, Rebecca Moesta",1996,N/A,N/A,N/A,"ger, eng"
Ralestone Luck,Andre Norton,1938,N/A,N/A,N/A,eng
"Honor Among Enemies (Honor Harrington Series, Book 6)",David Weber,1996,N/A,N/A,N/A,"ger, eng"
Kingdom Come,Mark Waid,1996,N/A,N/A,N/A,"eng, spa"
Psychlone,Greg Bear,1979,N/A,N/A,N/A,eng
The mummy!,Jane C. Webb Loudon,1828,N/A,N/A,N/A,eng
Octavia's Brood,"Walidah Imarisha, Adrienne Maree Brown, Je Nie Fleming",2015,N/A,N/A,N/A,eng
Mid-Flinx,Alan Dean Foster,1995,N/A,N/A,N/A,eng
Time Travelling with a Hamster,Ross Welford,2015,N/A,N/A,N/A,eng
Dark Universe,Daniel F. Galouye,1961,N/A,N/A,N/A,"fre, eng, ita, ger"
Thorns,Robert Silverberg,1967,N/A,N/A,N/A,eng
Enclave,Ann Aguirre,2011,N/A,N/A,N/A,eng
Sacrament,"Clive Barker, Barker, Clive, Clive Barker",1996,N/A,N/A,N/A,eng
Doomsday Conspiracy,Sidney Sheldon,1991,N/A,N/A,N/A,"tur, rus, jpn, eng"
Animorphs - The Reaction,Katherine Applegate,1997,N/A,N/A,N/A,"por, spa, fre, eng"
Sailing to Byzantium,Robert Silverberg,1985,N/A,N/A,N/A,eng
Donovan's Brain,Curt Siodmak,1942,N/A,N/A,N/A,"ger, eng"
Star Wars - The New Jedi Order - Agents of Chaos II - Jedi Eclipse,James Luceno,2000,N/A,N/A,N/A,"ger, eng, fre"
The day it rained forever,Ray Bradbury,1959,N/A,N/A,N/A,eng
Rabbits,Terry Miles,2021,N/A,N/A,N/A,eng
Star Wars - The New Jedi Order - Dark Tide I - Onslaught,Michael A. Stackpole,2000,N/A,N/A,N/A,"eng, spa"
Star Wars - Jedi Prince - Glove of Darth Vader,"Paul Davids, Hollace Davids",1992,N/A,N/A,N/A,"eng, fre"
In the Wrong Paradise,Andrew Lang,1886,N/A,N/A,N/A,eng
Ultimate X-Men,"Mark Millar, Adam Kubert, Andy Kubert, David Finch",2001,N/A,N/A,N/A,eng
Superman,"Dan Jurgens, Roger Stern, Jerry Ordway",1993,N/A,N/A,N/A,eng
Morning Star,H. Rider Haggard,1910,N/A,N/A,N/A,eng
Infected,Scott Sigler,2008,N/A,N/A,N/A,eng
Black Heart,Holly Black,2012,N/A,N/A,N/A,eng
Star Wars - Corellian Trilogy - Ambush at Corellia,Roger MacBride Allen,1995,N/A,N/A,N/A,"ger, eng"
ALCHEMY & ACADEME,Anne McCaffrey,1970,N/A,N/A,N/A,eng
Starclimber,Kenneth Oppel,2008,N/A,N/A,N/A,"fre, ger, eng"
The Gates of Chance,Van Tassel Sutphen,1904,N/A,N/A,N/A,eng
Eastern standard tribe,Cory Doctorow,2004,N/A,N/A,N/A,eng
Gridlinked,Neal L. Asher,2001,N/A,N/A,N/A,"eng, ger"
Galactic North,Alastair Reynolds,2006,N/A,N/A,N/A,eng
Nimisha's Ship,Anne McCaffrey,1993,N/A,N/A,N/A,eng
Dr. Stone,"Riichiro Inagaki, Boichi",2021,N/A,N/A,N/A,spa
The world Jones made,"Philip K. Dick, Christopher Lane",1968,N/A,N/A,N/A,"pol, eng"
Freedom's ransom,"Anne McCaffrey, Dick Hill",2002,N/A,N/A,N/A,eng
The Martians,"Kim Stanley Robinson, Dominique Haas",1999,N/A,N/A,N/A,"eng, spa"
Voyagers,Ben Bova,1981,N/A,N/A,N/A,eng
The Ashes of Eden,William Shatner,1995,N/A,N/A,N/A,"ger, eng"
The Lost World,"Gail Herman, Gail Herman",1997,N/A,N/A,N/A,"spa, eng, fre"
Halo,Eric S. Nylund,2003,N/A,N/A,N/A,eng
The man who used the universe,"Alan Dean Foster, Dean Foster, Alan Foster",1983,N/A,N/A,N/A,eng
Titan,John Varley,1982,N/A,N/A,N/A,eng
Redemption in indigo,Karen Lord,2010,N/A,N/A,N/A,eng
Utopia,Lincoln Child,2002,N/A,N/A,N/A,"spa, eng"
The Power of Six,Pittacus Lore,2011,N/A,N/A,N/A,eng
Star Wars - Knight Errant,John Jackson Miller,2011,N/A,N/A,N/A,"eng, pol"
Stranger Things,Gwenda Bond,2019,N/A,N/A,N/A,N/A
Knight of shadows,Roger Zelazny,1989,N/A,N/A,N/A,"und, fre, eng"
"Vox, Edge Chronicles Book 6 (Edge Chronicles)","Paul Stewart, Chris Riddell",2003,N/A,N/A,N/A,"dut, ger, fre, eng"
The Thing,Alan Dean Foster,1982,N/A,N/A,N/A,eng
Preserver,William Shatner,2000,N/A,N/A,N/A,eng
The Tachyon Web,Christopher Pike,1986,N/A,N/A,N/A,eng
Star Wars - The Han Solo Trilogy - Hutt Gambit,A. C. Crispin,1997,N/A,N/A,N/A,"ger, eng, pol"
Galactic Patrol,Edward Elmer Smith,1950,N/A,N/A,N/A,eng
Eye of Cat,Roger Zelazny,1982,N/A,N/A,N/A,"eng, ger"
Wolfbane,"Frederik Pohl, Cyril M. Kornbluth",1959,N/A,N/A,N/A,eng
The Chronicles of Harris Burdick,"Chris Van Allsburg, Tabitha King, Jon Scieszka, Sherman Alexie, Gregory Maguire, Cory Doctorow, Jules Feiffer, Linda Sue Park, Walter Dean Myers, Lois Lowry, Kate DiCamillo, M. T. Anderson, Louis Sachar, Stephen King",2011,N/A,N/A,N/A,"fre, eng"
The nine billion names of God,Arthur C. Clarke,1967,N/A,N/A,N/A,eng
The Unknown,Katherine Applegate,1998,N/A,N/A,N/A,"fre, eng"
Teranesia,Greg Egan,1999,N/A,N/A,N/A,"fre, eng, ger"
Four Ways to Forgiveness,Ursula K. Le Guin,1995,N/A,N/A,N/A,"spa, tur, eng, fre"
To the Vanishing Point,"Alan Dean Foster, Dean Foster, Alan Foster",1988,N/A,N/A,N/A,eng
Star Wars,Aaron Allston,1998,N/A,N/A,N/A,"ger, eng, fre"
Prelude to Space,Arthur C. Clarke,1953,N/A,N/A,N/A,"ita, eng"
River of gods,Ian McDonald,2004,N/A,N/A,N/A,eng
Knight of a Trillion Stars,Dara Joy,1995,N/A,N/A,N/A,eng
The Relentless Moon,Mary Robinette Kowal,2020,N/A,N/A,N/A,"spa, eng"
Delta-V,Daniel Suarez,2019,N/A,N/A,N/A,eng
God Stalk,P. C. Hodgell,1982,N/A,N/A,N/A,eng
Katar,Stanisław Lem,1976,N/A,N/A,N/A,"pol, eng, ger"
There will be time,Poul Anderson,1972,N/A,N/A,N/A,eng
Voyage,Stephen Baxter,1996,N/A,N/A,N/A,eng
Batman,Brian Augustyn,1991,N/A,N/A,N/A,eng
Vitals,Greg Bear,2002,N/A,N/A,N/A,"eng, ger, fre, spa"
Wings in the Night,Robert E. Howard,2005,N/A,N/A,N/A,eng
Mr. Archimedes' Bath,Pamela Allen,1980,N/A,N/A,N/A,eng
Eternity's wheel,"Neil Gaiman, Michael Reaves, Mallory Reaves, Reaves",2015,N/A,N/A,N/A,"eng, por"
The Boys Vol. 1,"Garth Ennis, Darick Robertson",2007,N/A,N/A,N/A,eng
Doctor Who,Trevor Baxendale,2000,N/A,N/A,N/A,eng
Mortal Engines,Philip Reeve,2003,N/A,N/A,N/A,"eng, ger"
The dark design,Philip José Farmer,1977,N/A,N/A,N/A,eng
Gladiator-at-law,"Frederik Pohl, Cyril M. Kornbluth",1955,N/A,N/A,N/A,eng
City of the dead,Herbert H. Lieberman,1976,N/A,N/A,N/A,"ger, spa, eng, fre"
Beyond Heaven's River,"Greg Bear, Ray Chase",1980,N/A,N/A,N/A,eng
Soul Catcher,Frank Herbert,1972,N/A,N/A,N/A,eng
A rising thunder,David Weber,2012,N/A,N/A,N/A,"ger, eng"
Lines of departure,Marko Kloos,2014,N/A,N/A,N/A,eng
Metro 2034,Dmitry Glukhovsky,2013,N/A,N/A,N/A,N/A
This time of darkness,H. M. (Helen Mary) Hoover,1980,N/A,N/A,N/A,eng
The Gone-Away World,Nick Harkaway,1998,N/A,N/A,N/A,eng
Immortality Inc,Robert Sheckley,1963,N/A,N/A,N/A,eng
The lord of the sea,M. P. Shiel,1901,N/A,N/A,N/A,eng
Explorers of Gor,John Norman,1979,N/A,N/A,N/A,eng
Ingo (Ingo #1),Helen Dunmore,2006,N/A,N/A,N/A,eng
The last book in the universe,W. R. Philbrick,2000,N/A,N/A,N/A,eng
"Y The Last Man, Vol. 5",Brian K. Vaughan,2005,N/A,N/A,N/A,eng
Il mistero del pianeta sommerso,Elisabetta Dami,2014,N/A,N/A,N/A,"eng, ita"
The metal monster,A. Merritt,1946,N/A,N/A,N/A,eng
"No Man's Land, Vol. 5","Bob Gale, Devin Grayson, Greg Rucka, Ian Edginton, Dennis O'Neil, Lisa Klink",1999,N/A,N/A,N/A,eng
Ferryman,Justin Cronin,2023,N/A,N/A,N/A,eng
The causal angel,Hannu Rajaniemi,2014,N/A,N/A,N/A,eng
The Maze of the Beast (Deltora Quest #6),Emily Rodda,2001,N/A,N/A,N/A,"spa, eng"
Invisible planets,Ken Liu,2016,N/A,N/A,N/A,eng
Help! I'm Trapped In My Teacher's Body (Help! I'm...),Todd Strasser,1993,N/A,N/A,N/A,"fre, eng"
Pathways,Jeri Taylor,1998,N/A,N/A,N/A,eng
The Science Fiction Hall of Fame -- Volume Two A,"Ben Bova, H. G. Wells, Poul Anderson, John W. Campbell, Lester del Rey, Robert A. Heinlein, Cyril M. Kornbluth, Henry Kuttner, C. L. Moore, Eric Frank Russell, Cordwainer Smith, Theodore Sturgeon, Jack Williamson, Others, Michael David Axtell, L J Ganser, Chris Andrew Ciulla, Mark Boyett, Graham Halstead, Oliver Wyman, Kevin T. Collins, Cary Hite, Josh Hurley, Tim Gerard Reynolds, Clark, Roger, Fred Berman",1973,N/A,N/A,N/A,eng
Robot Dreams,Sara Varon,2007,N/A,N/A,N/A,eng
Meg,Steve Alten,2011,N/A,N/A,N/A,eng
Star Trek - The Prometheus Design,"Sondra Marshak, Myrna Culbreath",1982,N/A,N/A,N/A,"fre, eng"
Blasphemy,Douglas Preston,2008,N/A,N/A,N/A,eng
Barbary Shore,Norman Mailer,1951,N/A,N/A,N/A,eng
George and the Unbreakable Code,"Lucy Hawking, Stephen Hawking",2014,N/A,N/A,N/A,"eng, pol, tur"
Lyonesse Series,Jack Vance,1983,N/A,N/A,N/A,"eng, pol"
The Nameless,Ramsey Campbell,1981,N/A,N/A,N/A,"spa, eng"
The Last Star,Rick Yancey,2016,N/A,N/A,N/A,eng
Janissaries,"Jerry Pournelle, Keith Szarabajka",1979,N/A,N/A,N/A,eng
They’d rather be right,"Mark Clifton, Frank Riley",1954,N/A,N/A,N/A,"ger, eng"
Skyhunter,Marie Lu,2020,N/A,N/A,N/A,eng
Szpital Przemienienia,Stanisław Lem,1982,N/A,N/A,N/A,"ger, pol, eng, spa"
Star Trek IV - The Voyage Home,"Vonda N. McIntyre, Leonard Nimoy",1976,N/A,N/A,N/A,eng
End of Men,Christina Sweeney-Baird,2021,N/A,N/A,N/A,eng
The Stainless Steel Rat Saves the World,"Harry Harrison, Harry Harrison",1971,N/A,N/A,N/A,eng
Saint Camber,Katherine Kurtz,1978,N/A,N/A,N/A,eng
The Island of Dr. Death and Other Stories,"Wolfe, Gene.",1980,N/A,N/A,N/A,eng
Expedition,Wayne Douglas Barlowe,1990,N/A,N/A,N/A,eng
A for Andromeda,"Fred Hoyle, John Elliot",1962,N/A,N/A,N/A,eng
Great sky river,Gregory Benford,1984,N/A,N/A,N/A,"ger, fre, eng, spa"
A Gift of Dragons,Anne McCaffrey,2002,N/A,N/A,N/A,eng
Akira 2,Katsuhiro Ōtomo,1993,N/A,N/A,N/A,"por, eng, spa"
Rhialto Marvelous,Jack Vance,1984,N/A,N/A,N/A,eng
The Cobweb,"Neal Stephenson, J. Frederick George, Frederick George",1998,N/A,N/A,N/A,"spa, eng"
A Desolation Called Peace,Arkady Martine,2021,N/A,N/A,N/A,eng
Waste Tide,Chen Qiufan,2019,N/A,N/A,N/A,eng
Origin,Stephen Baxter,2001,N/A,N/A,N/A,eng
"Horus Heresy
            
                Warhammer 40000 Novels Horus Heresy",Lindsey Priestley,2009,N/A,N/A,N/A,N/A
The Echo Wife,Sarah Gailey,2021,N/A,N/A,N/A,eng
The Journal of Curious Letters (The 13th Reality #1),James Dashner,2008,N/A,N/A,N/A,eng
Nightside The Long Sun (Book of the Long Sun),Gene Wolfe,1993,N/A,N/A,N/A,"spa, eng"
Null-ABC,"H. Beam Piper, John J. McGuire, John J. Mcguire, John Joseph McGuire",2006,N/A,N/A,N/A,eng
My real children,Jo Walton,2001,N/A,N/A,N/A,"fre, pol, eng"
Shadowgate (Dragons of Deltora #2),Emily Rodda,2004,N/A,N/A,N/A,eng
Star Wars The High Republic - The Fallen Star,Claudia Gray,2022,N/A,N/A,N/A,eng
The book of strange new things,Michel Faber,2014,N/A,N/A,N/A,"eng, ger"
Frankissstein,Jeanette Winterson,2019,N/A,N/A,N/A,"spa, eng"
"The king in yellow, and other horror stories",Robert W. Chambers,1970,N/A,N/A,N/A,eng
Among the Enemy (Shadow Children),Margaret Peterson Haddix,2006,N/A,N/A,N/A,eng
Changeling,Roger Zelazny,1980,N/A,N/A,N/A,"rus, eng"
Logan's run,"William F. Nolan, George Clayton Johnson",1967,N/A,N/A,N/A,"spa, eng"
Stiletto,Daniel O'Malley,2016,N/A,N/A,N/A,eng
Exposure,Kathy Reichs,2014,N/A,N/A,N/A,eng
Star Trek The Next Generation - Ghost Ship,Diane Carey,1988,N/A,N/A,N/A,eng
Among the Impostors (Shadow Children #2),Margaret Peterson Haddix,2001,N/A,N/A,N/A,eng
The Disasters,M. K. England,2018,N/A,N/A,N/A,"eng, ger"
House on the Borderland,William Hope Hodgson,2006,N/A,N/A,N/A,eng
Lost Stradivarius,John Meade Falkner,2009,N/A,N/A,N/A,eng
Voyage to Arcturus,David Lindsay,2014,N/A,N/A,N/A,eng
"June 29, 1999",David Wiesner,1992,N/A,N/A,N/A,"eng, chi"
The X-Files,Kevin J. Anderson,1996,N/A,N/A,N/A,"spa, eng"
In the Balance,Harry Turtledove,1994,N/A,N/A,N/A,"eng, ita"
Infinite Sea,Rick Yancey,2014,N/A,N/A,N/A,eng
Star Wars - The Old Republic - Deceived,Paul S. Kemp,2011,N/A,N/A,N/A,eng
Glow,Amy Kathleen Ryan,2011,N/A,N/A,N/A,eng
"Soldier, Ask Not",Gordon R. Dickson,1967,N/A,N/A,N/A,eng
"Sun Up, Sun Down","Jacqui Bailey, Matthew Lilly",2003,N/A,N/A,N/A,eng
Dies the fire,S. M. Stirling,2005,N/A,N/A,N/A,eng
Red Pill,Hari Kunzru,2020,N/A,N/A,N/A,eng
The Steerswoman,Rosemary Kirstein,1989,N/A,N/A,N/A,eng
Before the Golden Age,"Isaac Asimov, Edmond Hamilton, Neil R. Jones, S. P. Meek, P. Schuyler Miller, Clifford D. Simak, Charles R. Tanner, Jack Williamson, Laurence Manning, Donald Wandrei, Murray Leinster, Raymond Z. Gallun, Stanley G. Weinbaum, Henry Hasse, Leslie Frances Stone, John W. Campbell, John D. Clarke, Nathan Schachner, Ross Rocklynne",1974,N/A,N/A,N/A,eng
E Pluribus Unicorn,Theodore Sturgeon,1953,N/A,N/A,N/A,eng
"Y The Last Man, Vol. 3",Brian K. Vaughan,2004,N/A,N/A,N/A,eng
WW III,Ian Slater,1990,N/A,N/A,N/A,eng
The exegesis of Philip K. Dick,"Philip K. Dick, Pamela Jackson, Jonathan Lethem, Fred Stella",2011,N/A,N/A,N/A,eng
The Bradbury Chronicles,"William F. Nolan, Martin H. Greenberg, Ray Bradbury, Cameron Nolan, Edward Gorman, James Kisner, Charles L. Grant, Richard Matheson, Chad Oliver, William, Jr. Relling, Charles Beaumont, Norman Corwin, Roberta Lannes, Richard Christian Matheson, Chelsea Quinn Yarbro, Bruce Francis, Gregory Benford, John Maclay, J. N. Williamson, F. Paul Wilson, Robert Sheckley, Orson Scott Card",1991,N/A,N/A,N/A,eng
The stainless steel rat for president,Harry Harrison,1982,N/A,N/A,N/A,eng
Looking backward,Edward Bellamy,1906,N/A,N/A,N/A,"yid, eng, fin"
The soprano sorceress,"L. E. Modesitt, Jr.",1997,N/A,N/A,N/A,eng
The love interest,Cale Dietrich,2017,N/A,N/A,N/A,eng
The magic labyrinth,Philip José Farmer,1980,N/A,N/A,N/A,eng
Star Trek 11,James Blish,1975,N/A,N/A,N/A,"ger, eng"
Grasshopper Jungle,"Andrew Smith, Andrew Smith, Translator Andrew Smith Sir",2014,N/A,N/A,N/A,eng
The God project,John Saul,1982,N/A,N/A,N/A,"fre, eng"
Ricky Ricotta's Mighty Robot vs. The Unpleasant Penguins from Pluto (Ricky Ricotta's Mighty Robot #9),Dav Pilkey,2016,N/A,N/A,N/A,"spa, fre, eng"
LAST WATCH (Night Watch),Sergeĭ Lukʹi͡anenko,2006,N/A,N/A,N/A,"pol, rus, eng"
Alien Resurrection,A. C. Crispin,1997,N/A,N/A,N/A,"eng, ger, fre"
Star Wars - X-Wing - Wraith Squadron,Aaron Allston,1998,N/A,N/A,N/A,"eng, fre"
The last human,Zack Jordan,2020,N/A,N/A,N/A,eng
The GUARDIANS,Sam Youd,1970,N/A,N/A,N/A,"ger, und, eng, spa"
Daybreak -- 2250 A.D.,Andre Norton,1954,N/A,N/A,N/A,eng
Not so normal Norbert,"James Patterson, Joey Green, Hatem Aly, Marcelo E. Mazzanti",2018,N/A,N/A,N/A,eng
Hardwired,Walter Jon Williams,1986,N/A,N/A,N/A,eng
Full Circle,"Mike W. Barr, Alan Davis",1990,N/A,N/A,N/A,eng
Star Trek - Time for Yesterday,A. C. Crispin,1986,N/A,N/A,N/A,eng
Eve & Adam,"Michael Grant, Katherine Applegate, Michael Grant",2012,N/A,N/A,N/A,"fre, eng"
Dr. Who,"Gareth Roberts, Gareth Roberts",2012,N/A,N/A,N/A,eng
Return to Mars,"Ben Bova, Bruno Bodin",1999,N/A,N/A,N/A,"ger, eng"
The Monstrumologist,Rick Yancey,2009,N/A,N/A,N/A,eng
Owlknight (Valdemar,"Mercedes Lackey, Larry Dixon",1999,N/A,N/A,N/A,eng
Fragment,Warren Fahy,2009,N/A,N/A,N/A,"spa, eng, fre"
Charlie Bone and the shadow,"Jenny Nimmo, Jenny Millward",2008,N/A,N/A,N/A,eng
Star Wars - The Old Republic - Annihilation,Drew Karpyshyn,2012,N/A,N/A,N/A,"eng, pol"
Insignia,S. J. Kincaid,2012,N/A,N/A,N/A,eng
Star Wars - The New Jedi Order - Agents of Chaos I - Hero's Trial,James Luceno,2000,N/A,N/A,N/A,"eng, fre"
The Treatment,Suzanne Young,2014,N/A,N/A,N/A,eng
The Rhesus Chart,Charles Stross,2014,N/A,N/A,N/A,eng
Professor Puffendorf's secret potions,Robin Tzannes,1992,N/A,N/A,N/A,"eng, spa"
At Winter's End,Robert Silverberg,1988,N/A,N/A,N/A,"eng, fre"
The Arbor House Treasury of Horror and the Supernatural,"Bill Pronzini, Barry Malzberg, Stephen King, Edgar Allan Poe, Nathaniel Hawthorne, Joseph Sheridan Le Fanu, Bram Stoker, Henry James, Winston S. Churchill, Theodore Dreiser, H. G. Wells, Ambrose Bierce, H.P. Lovecraft, Robert Bloch, Cornell Woolrich, William Faulkner, Theodore Sturgeon, Fritz Leiber, Truman Capote, Fredric Brown, Evan Hunter, Karl Edward Wagner, Ray Russell, Robert Phillips, Thomas M. Disch, Henry Slesar, Adobe James, Robert Silverberg, John Lutz, Ramsey Campbell, Arthur Porges, Elizabeth Morton, Jack Dann, Theodore Cogswell, Cyril M. Kornbluth, Robert Scheckley, Barry N. Malzberg, Joyce Carol Oates, Charles L. Grant, Arthur L. Samuels, Edward D. Hoch, William F. Nolan",1981,N/A,N/A,N/A,eng
The keeper of the Isis light,Monica Hughes        ,1980,N/A,N/A,N/A,eng
"Spells (Wings Series, Book 2)",Aprilynne Pike,2010,N/A,N/A,N/A,eng
Star Trek 6,James Blish,1972,N/A,N/A,N/A,"ger, eng"
The Anubis Gates,Tim Powers,1983,N/A,N/A,N/A,eng
Star Wars,Michael A. Stackpole,1997,N/A,N/A,N/A,"ger, eng, fre"
The Stochastic Man,"Robert Silverberg, Stefan Rudnicki",1975,N/A,N/A,N/A,"fre, eng"
Five plays,Lord Dunsany,1914,N/A,N/A,N/A,eng
Star Trek - Strangers From the Sky,Margaret Wander Bonanno,1987,N/A,N/A,N/A,eng
Imposters,Scott Westerfeld,2018,N/A,N/A,N/A,eng
Ciaphas Cain,Sandy Mitchell,2007,N/A,N/A,N/A,eng
For We Are Many,Dennis E. Taylor,2017,N/A,N/A,N/A,"eng, fre, ger"
Variable Star,"Robert A. Heinlein, Spider Robinson",2006,N/A,N/A,N/A,eng
The Mirror of Her Dreams,Stephen R. Donaldson,1986,N/A,N/A,N/A,eng
Avengers,"Mark Waid, Al Ewing, Jim Zub",2015,N/A,N/A,N/A,eng
Destiny's Road,Larry Niven,1997,N/A,N/A,N/A,eng
Cachalot,Alan Dean Foster,1980,N/A,N/A,N/A,eng
The door into fire,Diane Duane,1958,N/A,N/A,N/A,eng
True Believer,Nicholas Sparks,2006,N/A,N/A,N/A,eng
The shifting realities of Philip K. Dick,Philip K. Dick,1995,N/A,N/A,N/A,"eng, fre"
Macroscope,Piers Anthony,1969,N/A,N/A,N/A,eng
Search the Sky,"Frederik Pohl, Cyril M. Kornbluth",1920,N/A,N/A,N/A,eng
Tom Swift Among the Diamond Makers,Howard Roger Garis,1911,N/A,N/A,N/A,eng
Fear Itself,Walter Mosley,2003,N/A,N/A,N/A,eng
Here and Now and Then,Mike Chen,2019,N/A,N/A,N/A,eng
The Forbidden Tower,Marion Zimmer Bradley,1977,N/A,N/A,N/A,"ger, eng"
Star Trek - Odyssey - The Return,William Shatner,1996,N/A,N/A,N/A,"ger, eng"
Star Wars - Legacy of the Force - Inferno,Troy Denning,2007,N/A,N/A,N/A,eng
Divine invasions,Lawrence Sutin,1989,N/A,N/A,N/A,eng
