Title,Author(s),First Published Year,ISBN-10,ISBN-13,Publisher,Language
The Wonderful Wizard of Oz,L. Frank Baum,1899,N/A,N/A,N/A,"cze, rus, yue, aze, may, per, kor, spa, heb, arm, chi, bel, ita, ara, rum, vie, baq, lat, alb, tlh, afr, ger, tur, eng, hin, fre, hrv, wel, und, dut, jpn, dan, cat, por"
Northern Lights,Philip Pullman,1995,N/A,N/A,N/A,"jpn, eng, ger, ita, fre, spa, heb, chi, pol"
Dracula,Bram Stoker,1897,N/A,N/A,N/A,"rus, ger, pol, ita, tur, glg, eng, dut, alb, fre, cat, gle, hun, spa, chi, por"
The Giver,Lois Lowry,1993,N/A,N/A,N/A,"ger, pol, ita, tha, eng, jpn, nor, fre, cat, hrv, hun, spa, heb, chi, glg"
Братья Карамазовы,Фёдор Михайлович Достоевский,1880,N/A,N/A,N/A,"und, gre, rus, ger, pol, ita, tur, eng, jpn, yid, dan, vie, fre, fin, spa, swe, por"
Die Verwandlung,Franz Kafka,1915,N/A,N/A,N/A,"mul, ger, ita, tur, eng, jpn, fre, spa, chi, por"
The Lost Symbol,Dan Brown,2009,N/A,N/A,N/A,"eng, por, pol, spa, lit, ger, chi, ita, mar, fre, srp, rus, heb, dut, vie, jpn, hun"
The Two Towers,J.R.R. Tolkien,1954,N/A,N/A,N/A,"hrv, dan, ger, baq, chi, spa, jpn, tur, ita, bul, eng, pol, fre, afr, dut, por, yid, ast, rus, hun, cze, cat, ind, swe"
Le Tour du Monde en Quatre-Vingts Jours,Jules Verne,1872,N/A,N/A,N/A,"ger, ita, eng, yid, jpn, nor, fre, gle, kor, spa, guj, wel, chi, por"
A Wrinkle in Time,Madeleine L'Engle,1962,N/A,N/A,N/A,"und, kur, eng, fre, spa, heb"
A Clockwork Orange,Anthony Burgess,1962,N/A,N/A,N/A,"ita, cat, ger, rus, por, kor, spa, fre, eng"
The Hunger Games,Suzanne Collins,2008,N/A,N/A,N/A,"rus, ger, pol, tur, eng, jpn, fre, spa, swe, chi"
The Hobbit,J.R.R. Tolkien,1937,N/A,N/A,N/A,"dan, ger, chi, jpn, epo, haw, tur, ita, bul, fin, lat, eng, pol, gle, fre, cor, dut, por, heb, yid, rum, rus, swe, bre, cze, cat, vie, nob, spa"
Moby Dick,Herman Melville,1851,N/A,N/A,N/A,"und, rus, ger, pol, ita, ara, eng, jpn, dut, new, fre, cat, kor, spa, heb, chi"
Harry Potter and the Philosopher's Stone,J. K. Rowling,1997,N/A,N/A,N/A,"cze, rus, lav, ukr, urd, lit, ltz, per, hun, kor, spa, heb, chi, gre, ita, bul, ara, rum, vie, lat, fin, alb, swe, afr, ger, pol, tur, gla, tha, eng, hin, fre, kal, hrv, ice, wel, mar, jpn, dut, dan, grc, tib, cat, gle, ben, por"
The Subtle Knife,Philip Pullman,1997,N/A,N/A,N/A,"rus, ger, ita, eng, jpn, fre, spa, chi"
Carrie,Stephen King,1974,N/A,N/A,N/A,"rus, ger, ita, eng, fre, spa, chi, por"
Common Sense,Thomas Paine,1776,N/A,N/A,N/A,"fre, ger, eng, chi, spa"
Twilight,Stephenie Meyer,2005,N/A,N/A,N/A,"gre, rus, ger, pol, tur, ara, eng, vie, fre, spa, chi, por"
A Doll's House,"Henrik Ibsen, Henrik Ibsen",1889,N/A,N/A,N/A,"nor, urd, eng, kan, ger, mar, guj, spa, yid, heb, und"
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,1999,N/A,N/A,N/A,"gre, ger, urd, chi, spa, ben, jpn, ara, tha, tur, ita, alb, bul, tib, eng, pol, fre, dut, por, heb, rum, per, rus, hin, mar, hun, cze, lit, cat, vie, kor, nob, swe"
Du contrat social,Jean-Jacques Rousseau,1762,N/A,N/A,N/A,"urd, eng, fre, kor, spa, chi"
Utopia,Thomas More,1518,N/A,N/A,N/A,"dut, eng, ger, hun, fre, ita, lat, spa, ara, rus"
The Prince,Niccolò Machiavelli,1515,N/A,N/A,N/A,"tgl, rus, ger, ita, ukr, tam, ara, eng, rum, jpn, per, fre, lat, syc, spa, syr, chi, por"
πολιτεία,Πλάτων,1554,N/A,N/A,N/A,"cze, urd, kor, spa, guj, chi, glg, gre, mac, ita, ara, lat, ger, pol, eng, hin, fre, und, dut, grc, dan"
The Art of War,孙武,1900,N/A,N/A,N/A,"mal, rus, kor, spa, chi, ita, tam, vie, tel, mul, ger, pol, eng, hin, fre, mar, jpn, cmn, ben, por"
Misery,Stephen King,1978,N/A,N/A,N/A,"tur, jpn, heb, srp, dut, pol, rus, ger, fre, spa, ita, eng, chi, ara"
Essays,Francis Bacon,1618,N/A,N/A,N/A,"ger, eng, fre, pan, lat, jpn, ita"
Faerie queene,Edmund Spenser,1590,N/A,N/A,N/A,eng
Alice's Adventures in Wonderland,Lewis Carroll,1865,N/A,N/A,N/A,"cze, fry, rus, lav, lad, ukr, crp, yid, haw, hun, kor, spa, ceb, syr, guj, orm, heb, chi, bel, gre, ita, bul, ara, lat, tel, fin, epo, swe, ger, pol, tur, eng, bre, fre, hrv, wel, srp, und, cor, swa, kaz, slo, jpn, dut, dan, sco, cat, gle, kir, alt, por"
Narrative of the life of Frederick Douglass,Frederick Douglass,1845,N/A,N/A,N/A,"und, eng, spa"
The Sayings of Lao Tzü,Laozi,1875,N/A,N/A,N/A,"rus, ger, bul, may, tha, eng, jpn, cmn, vie, fre, kor, spa, heb, chi"
A Vindication of Rights of Woman,Mary Wollstonecraft,1792,N/A,N/A,N/A,"eng, und"
Much Ado About Nothing,William Shakespeare,1600,N/A,N/A,N/A,"cze, hin, jpn, heb, tlh, ukr, por, ger, kor, fre, cpf, spa, ita, eng, chi, fin"
Life on the Mississippi,Mark Twain,1883,N/A,N/A,N/A,"ger, chi, eng, spa"
History,Herodotus,1494,N/A,N/A,N/A,"fre, gre, ger, ita, grc, rum, lat, eng, und, chi, spa"
Walden,Henry David Thoreau,1854,N/A,N/A,N/A,"ger, ita, eng, fre, spa, heb, chi"
Sonnets,William Shakespeare,1609,N/A,N/A,N/A,"arm, gre, ger, uzb, chi, slv, ukr, ara, tur, ita, ice, lat, kaa, eng, mul, pol, gle, fre, kaz, afr, dut, por, yid, heb, rus, und, hun, kir, cze, bel, lit, kor, mac, spa"
Foundation,Isaac Asimov,1951,N/A,N/A,N/A,"rus, ger, ita, eng, fre, kor, spa, chi, por"
"I, Robot",Isaac Asimov,1950,N/A,N/A,N/A,"gre, ger, ita, tur, eng, dut, fre, spa, chi, por"
Dorothy and the Wizard in Oz,L. Frank Baum,1908,N/A,N/A,N/A,"eng, pol, spa"
The Gunslinger,Stephen King,1976,N/A,N/A,N/A,"dut, eng, rum, ger, ita, fre, kor, por, spa, chi, rus"
Deception Point,Dan Brown,2001,N/A,N/A,N/A,"dut, jpn, tur, ara, eng, hun, ita, gre, vie, chi, dan, swe, por, rus, kor, pol, fre, heb, ger, spa"
Jurassic Park,Michael Crichton,1990,N/A,N/A,N/A,"jpn, eng, gre, ger, ita, fre, por, spa, heb, chi, rus"
Slaughterhouse-Five,Kurt Vonnegut,1968,N/A,N/A,N/A,"eng, rum, ger, ita, fre, por, spa, bel, rus"
The Restaurant at the End of the Universe,Douglas Adams,1980,N/A,N/A,N/A,"chi, por, ger, fre, spa, tur, pol, eng"
She,H. Rider Haggard,1886,N/A,N/A,N/A,"hin, spa, ger, eng"
The Napoleon of Notting Hill,Gilbert Keith Chesterton,1904,N/A,N/A,N/A,"jpn, ita, rus, spa, eng"
Do Androids Dream of Electric Sheep?,Philip K. Dick,1968,N/A,N/A,N/A,"spa, ita, heb, eng, chi, ger, jpn, tur, fre, por, hrv"
"Mary Shelley's Frankenstein; or, the Modern Prometheus (1818 text)",Mary Shelley,1818,N/A,N/A,N/A,"fre, eng, rus"
A Modern Utopia,H. G. Wells,1900,N/A,N/A,N/A,"spa, dut, ita, eng, cze, und"
The Blind Assassin,Margaret Atwood,2000,N/A,N/A,N/A,"ita, spa, dan, srp, est, lit, ben, lav, heb, mar, pol, fin, ger, rus, swe, gre, hun, nor, tur, por, fre, per, eng, jpn, chi, cat"
The Left Hand of Darkness,Ursula K. Le Guin,1969,N/A,N/A,N/A,"rus, ger, ita, tur, eng, fre, cat, kor, spa, heb, por"
Архипелаг ГУЛАГ,Александр Исаевич Солженицын,1970,N/A,N/A,N/A,"cze, rus, ger, eng, urd, cmn, dan, vie, fre, est, spa, swe"
The Dead Zone,Stephen King,1979,N/A,N/A,N/A,"dut, ita, ger, gre, rus, srp, tur, pol, spa, fre, eng, chi"
A Game of Thrones,George R. R. Martin,1996,N/A,N/A,N/A,"srp, rus, ger, pol, ind, eng, jpn, dan, fre, gle, spa, swe, chi, por"
Sapiens,"Yuval Noah Harari, Daniel Casanave, David Vandermeulen, Pierre-Emmanuel Dauzat, Joandomènec Ros i Aragonès, Andoni Sagarna, Xabier Kintana, David Casanave",2011,N/A,N/A,N/A,"ger, pol, ita, eng, urd, jpn, rum, fre, hrv, kor, spa, por"
The Second Sex,Simone de Beauvoir,1949,N/A,N/A,N/A,"fre, ger, rus, eng, spa"
The Man in the High Castle,"Philip K. Dick, Michelle Charrier",1962,N/A,N/A,N/A,"jpn, eng, gre, ger, ita, fre, hrv, por, spa, chi, pol"
L'Île mystérieuse,Jules Verne,1870,N/A,N/A,N/A,"und, eng, lit, dan, fre, guj, por"
The Stand,Stephen King,1978,N/A,N/A,N/A,"rus, ger, pol, eng, fre, spa"
The Complete Life and Adventures of Santa Claus,L. Frank Baum,1902,N/A,N/A,N/A,"eng, fre"
A Wizard of Earthsea,Ursula K. Le Guin,1968,N/A,N/A,N/A,"heb, ger, chi, swe, rus, vie, und, spa, pol, eng, glg"
Roughing It,Mark Twain,1872,N/A,N/A,N/A,"ger, eng, pol, fre"
Foundation and Empire,Isaac Asimov,1945,N/A,N/A,N/A,"dut, tur, ger, fre, por, spa, ita, eng"
Catching Fire,Suzanne Collins,2009,N/A,N/A,N/A,"rus, ger, pol, eng, dan, fre, spa, chi"
Second Foundation,Isaac Asimov,1953,N/A,N/A,N/A,"ger, ita, eng, dut, fre, spa, por"
The Amber Spyglass,Philip Pullman,1999,N/A,N/A,N/A,"rus, ger, pol, eng, fre, spa, swe, chi, por"
Flowers for Algernon,Daniel Keyes,1966,N/A,N/A,N/A,"und, rus, pol, ita, eng, jpn, fre, spa"
The Illustrated Man,Ray Bradbury,1901,N/A,N/A,N/A,"dut, eng, ger, spa, pol"
The Lost World,Michael Crichton,1995,N/A,N/A,N/A,"ger, pol, ita, tha, eng, jpn, dut, fre, spa, por"
Ficciones,Jorge Luis Borges,1945,N/A,N/A,N/A,"fre, por, spa, ita, eng"
Firestarter,Stephen King,1980,N/A,N/A,N/A,"dut, tur, eng, ger, fre, spa, pol, rus"
The Lightning Thief,Rick Riordan,2005,N/A,N/A,N/A,"ger, eng, rum, dut, vie, fre, spa, chi, por"
The Drawing of the Three,Stephen King,1987,N/A,N/A,N/A,"dut, eng, ger, ita, fre, spa, chi, rus"
Mockingjay,Suzanne Collins,2010,N/A,N/A,N/A,"rus, ger, pol, eng, fre, spa, chi"
De la démocratie en Amérique,"Alexis de Tocqueville, Gustave de Beaumont, Eduardo Nolla, Henry Reeve, John Canfield Spencer, J. P. Mayer",1835,N/A,N/A,N/A,"fre, geo, jpn, dut, ger, heb, rus, eng, chi, kor, ukr, spa, hun"
Rights of Man,"Thomas Paine, T. Paine, Thomas Thomas Paine",1791,N/A,N/A,N/A,"eng, fre"
Oresteia,Aeschylus,1845,N/A,N/A,N/A,"cze, gre, ger, ita, ara, eng, grc, lat, ice, spa"
"So long, and thanks for all the fish",Douglas Adams,1984,N/A,N/A,N/A,"eng, tur, ger, ita, fre, por, spa, pol, rus"
Airframe,Michael Crichton,1996,N/A,N/A,N/A,"ita, jpn, ger, spa, fre, eng, chi"
The Martian,"Andy Weir, R.C. Bray",2011,N/A,N/A,N/A,"eng, pol, por, spa, kor, ind, chi, ger, ita, rum, fre, ara, dan, dut, hun"
American Gods,Neil Gaiman,2001,N/A,N/A,N/A,"chi, por, cze, eng, spa, fre, ger"
Childhood’s End,Arthur C. Clarke,1953,N/A,N/A,N/A,"eng, por, spa, ger, ita, fre"
The World Set Free,"H. G. Wells, Ellen Marriage",1914,N/A,N/A,N/A,eng
The Dispossessed,Ursula K. Le Guin,1974,N/A,N/A,N/A,"gre, ger, pol, ita, tur, eng, dut, fre, cat, spa, heb, chi, por"
The Waste Lands,Stephen King,1991,N/A,N/A,N/A,"ita, ger, por, rus, tur, spa, fre, eng, chi"
Ubik,Philip K. Dick,1969,N/A,N/A,N/A,"ger, fre, spa, por, gre, cmn, pol, ita, eng"
The Adventures of Captain Underpants,Dav Pilkey,1997,N/A,N/A,N/A,"ita, eng, fre, cat, spa, chi, por"
Cat's Cradle,"Kurt Vonnegut, Nickolay Popov",1963,N/A,N/A,N/A,"rus, ger, eng, spa, heb, chi"
A Canticle for Leibowitz,Walter M. Miller Jr.,1959,N/A,N/A,N/A,"ita, und, eng, ger, spa"
The Eye of the World (The Wheel of Time Book 1),Robert Jordan,1990,N/A,N/A,N/A,"ger, eng, fre, spa, chi, por"
Dune Messiah,"Frank Herbert, Michel Demuth",1969,N/A,N/A,N/A,"ger, pol, spa, tur, eng, dut, und, rus, fre"
Solaris,Stanisław Lem,1962,N/A,N/A,N/A,"ita, hun, spa, ger, eng, tur, rus, pol, fre, por, cze"
On Writing,Stephen King,1999,N/A,N/A,N/A,"cze, ita, dan, ger, swe, ukr, rus, por, fre, spa, pol, eng, chi"
The Tombs of Atuan,Ursula K. Le Guin,1971,N/A,N/A,N/A,"ger, eng, und, chi, swe, pol, spa"
Dragonflight,Anne McCaffrey,1968,N/A,N/A,N/A,"ita, ger, fin, spa, fre, eng"
Sphere,"Michael Crichton, Jacques Polanis",1980,N/A,N/A,N/A,"dut, jpn, eng, gre, tur, ger, fre, por, spa, chi, pol"
